age,xco2,xco2_16pc,xco2_84pc
15893.176039366,616.404824453639,545.418680723131,688.926788536487
15953.6639968479,628.046434017886,532.134866777003,737.638697165641
15961.9887213555,701.156456665523,618.291747733855,787.55672494249
15975.9079143261,1359.25818022286,1204.23099759416,1519.05271884457
15989.8850845291,711.381971153878,626.70703051279,800.072984473684
16013.76,734.017843000837,649.55239143086,820.727916214048
16024.07,508.258790824853,450.492918946542,566.675346234355
16060.7295037388,642.836376816693,568.219553104,719.678959963811
16071.36,587.614254545052,521.058476821744,655.114232154748
16118.7117246145,901.360800640726,776.104231295005,1040.83324799749
16148.1973390996,685.656276862865,607.168820120389,765.561196631235
16178.0420384073,596.281571127764,527.440969079109,666.608264183551
16208.2683669835,515.753656980708,446.786607629458,590.251458017973
16238.899256133,1069.37021706282,911.999106889763,1249.16197268655
16269.9580233698,613.921352132438,544.555889446113,683.800205005718
16301.468372819,1067.38284245695,946.400011673573,1190.34738622374
16333.4543948001,580.584248561019,514.613996532129,646.898931843605
16365.9405665142,1154.2074039323,1020.37149860838,1291.88931718319
16377.26,463.580484136093,411.111594022906,516.073553258841
16382.3789632331,510.679327152817,452.469392911214,569.280222446173
16398.9517513654,982.871100103541,869.473515503024,1099.18216001552
16415.6620992969,491.704325874538,435.697356932225,547.990741347631
16466.6505467096,1208.04630037871,998.214436105521,1469.79771082877
16591.0456638765,607.497675797179,538.218035258621,677.188418276316
16646.9001037533,543.052010715342,480.852789038763,605.604178100967
16685.0528552325,525.742306644091,460.7466325192,594.347910650255
16716.84,888.638297653148,786.660883666113,992.496515914445
16763.6856131901,770.227914048654,677.910142701672,866.594299155876
16861.05,524.194333959007,463.544148054539,585.839842950164
16897.15,559.18353666329,493.837613186169,625.945021567043
16975.2108641058,463.523122704582,402.240871189249,528.47475873774
17081.52,484.72361091023,427.583527247128,543.07291565746
17113.5877151835,579.581468331312,512.19217224423,648.374666431004
17719.21,795.887466025135,703.473991336357,889.224333998081
18247,456.17202609015,402.413020093627,510.087898098301
18508.32,547.414356427251,482.777566089192,612.178495911453
19135.21,649.256110033259,571.999501900119,727.146940853176
19434.53,449.398683337109,391.61381382512,509.976686881478
20031.83,622.698374929031,547.2674423952,699.07667593256
20087.04,405.384579153108,355.918522400305,454.626293817569
20560.75,734.251161637578,644.853608679274,824.440476674413
21167.32075,613.297601117789,537.668234429112,689.368368643011
21396.07544,542.559359715336,474.956047281188,610.164261416148
21775.31,558.100801318221,488.223230039136,627.961886158807
21839.69502,572.818367373428,499.742559050629,647.730790159146
22022,506.840788660705,437.22823030538,581.029906417739
22161,798.986001372462,690.767018555292,914.536710542314
22442,773.541217172848,676.397575326551,871.925299744522
22510,612.726567988141,535.559567150862,690.833740611423
22521,752.658103171524,657.287741482353,849.9949675507
22580,746.753570644699,653.072061705845,841.69100845433
22589,564.981106799169,493.640332493521,636.397163113465
22661,629.778995386079,549.717015849156,711.722077542617
22673,709.23902327012,613.224517369272,810.709189247626
22696,570.48581163699,498.09391326472,643.679903600917
22728,427.653245805247,373.068211499125,482.266842526948
22736,527.479415521381,460.426133966973,594.48069369686
22810,427.674122654364,373.111217814717,482.256225809031
22815,438.870228887653,382.909902197598,494.809063128833
22820,480.648818735614,419.358101680992,541.949044682535
22872,719.0323850609,628.112316352024,811.043404498756
22895,601.345998131162,524.811548834728,678.608470294256
22939,489.438544501416,426.60711880199,553.668460192059
22968,452.679651443424,394.859424432211,510.515108238779
23008,481.651653661006,420.521161448216,542.271239676285
23023,511.539918559433,445.441120224162,579.050784000298
23075,581.844369941663,507.645143446845,656.086524544665
23087,573.026724861073,499.390079931098,648.221533180005
23094,535.177094907208,466.841185469683,604.130767645538
23157,495.395255021469,431.841605500542,559.345152812834
23249,578.587848172178,502.913668293347,656.163635016274
23264,567.34764402025,494.659144866589,640.439791549172
23306,483.543062351019,420.95445554417,547.382736820631
23338,497.835776918035,433.878794594026,561.877291113388
23575,492.682557667181,429.213818922835,556.295746458383
23579,481.016567123332,418.938076777551,543.206846759177
23662,479.223363292453,417.176115815953,541.371376056308
23733,582.120375904419,507.087701378297,657.443856431147
23797,503.309885930918,435.526700460232,573.828019247912
23821,506.095269731186,440.29927796792,572.864822213516
23857,684.801261731681,570.846131960221,815.85636777272
23928,471.732792952301,410.3079192582,533.339916071909
23978,419.695745321805,364.254241439537,476.206465181494
24018,514.951107107811,439.221119796187,596.214534653487
32980,668.183878435932,569.308537056514,767.190083171085
33170,786.061009955005,669.616157767128,902.926985756733
33330,911.080090905972,776.251505240994,1046.40660132393
33380,905.042390353043,770.99842136175,1039.28635573707
33590,764.197607936315,650.478830694921,878.253185335276
33960,936.246935410016,796.273941666816,1076.59646483578
34210,973.693705574754,827.667758943454,1120.28688344921
34420,968.681539324306,820.321779789046,1121.75027042178
34630,864.512061259906,731.050426298257,1002.18197659721
35607.5461491649,1024.16673748331,867.245823412366,1181.17188071462
36396.4207631798,954.164695764486,805.597260174843,1104.79463676032
36900,900.804519250243,756.460437498189,1050.32157073739
36963.2835215363,993.979126353828,838.857801122893,1150.04545303416
36963.2835215363,953.464121411747,804.325513653135,1102.72724999557
37636.0808709176,958.401208659749,796.400978569158,1132.66696083113
38109.4056393265,1065.26290391424,895.804125805242,1236.67312749684
38781.0760249735,1062.45167894623,892.899673814521,1231.73362235378
38781.0760249735,1056.83457443772,888.075928854129,1226.14825794511
38781.0760249735,1109.38726894095,931.710313612095,1287.45336585946
38781.0760249735,1072.8330548138,900.948721151464,1246.76259510476
39124,868.754537283287,728.794998182012,1008.34242495204
39327,901.672915579721,756.2182555669,1046.52977974804
39445.9846282147,976.663313963067,816.930591326726,1138.96385614761
39445.9846282147,1082.90745745241,908.000495158351,1257.97558413273
39807.9,1052.24260477203,882.294545894669,1222.39313791684
39911,905.796219217862,759.145374835438,1052.68822719857
39958,976.808286641786,818.106459597353,1135.47273711712
39982.7,867.263271804471,726.366441381357,1007.75588762365
40000,957.34711642614,801.581271433557,1113.0868887272
40031,1067.81603067736,894.208723088887,1241.44111230994
40061.5,1056.5897991905,885.397008746707,1229.00520566488
40092,1275.36496924159,1068.61376867297,1483.79319775089
40110.9,1156.74063074637,969.0751957712,1344.79959215084
40140,1330.85175217256,1115.11239254374,1548.19948749549
40140,1259.38236862176,1055.4047706629,1464.77164813341
