age_tuned,ISOBENbinned_d13Ccount,ISOBENbinned_d13C,ISOBENbinned_d13Cinterp,ISOBENbinned_d18Ocount,ISOBENbinned_d18O,ISOBENbinned_d18Ointerp,ISOBENd13cLOESSsmooth,ISOBENd18oLOESSsmooth,ISOBENLOESSsmooth_pts,ISOBENd13cLOESSsmoothLongTerm,ISOBENd18oLOESSsmoothLongTerm,ISOBENLOESSsmooth_pts
0.272,1,-1.24000000953674,-1.24000000953674,1,4.92000007629394,4.92000007629394,-1.3319216,4.8906555,10pts smooth,-0.51079053,4.4680657,500pts smooth
0.274,5,-1.29199998378753,-1.29199998378753,5,4.8119999885559,4.8119999885559,-1.2606231,4.8764887,10pts smooth,-0.51028925,4.4674878,500pts smooth
0.276,1,-1.03999996185302,-1.03999996185302,1,4.8600001335144,4.8600001335144,-1.1480104,4.8333502,10pts smooth,-0.50978082,4.4669228,500pts smooth
0.278,2,-1.15499997138977,-1.15499997138977,2,4.78999996185302,4.78999996185302,-0.98101318,4.7703195,10pts smooth,-0.50926584,4.4663711,500pts smooth
0.28,0,,-0.778333314073582,0,,4.68499994277954,-0.68661273,4.6808944,10pts smooth,-0.50874484,4.4658318,500pts smooth
0.282,0,,-0.401666656757394,0,,4.57999992370605,-0.42804798,4.5811195,10pts smooth,-0.50821829,4.4653049,500pts smooth
0.284,2,-0.0249999994412064,-0.0249999994412064,2,4.47499990463256,4.47499990463256,-0.39216354,4.486237,10pts smooth,-0.50768673,4.4647903,500pts smooth
0.286,0,,-0.422499996144324,0,,4.38750004768371,-0.4296079,4.3952775,10pts smooth,-0.50715071,4.4642882,500pts smooth
0.288,1,-0.819999992847442,-0.819999992847442,1,4.30000019073486,4.30000019073486,-0.54016209,4.2871122,10pts smooth,-0.50661081,4.4637971,500pts smooth
0.29,2,-0.884999990463256,-0.884999990463256,2,4.38000011444091,4.38000011444091,-0.6755504,4.2249269,10pts smooth,-0.50606751,4.4633179,500pts smooth
0.292,1,-0.189999997615814,-0.189999997615814,1,3.94000005722045,3.94000005722045,-0.7142902,4.3011079,10pts smooth,-0.5055213,4.4628496,500pts smooth
0.294,3,-0.946666657924652,-0.946666657924652,3,4.5,4.5,-0.72434807,4.4160676,10pts smooth,-0.50497276,4.4623923,500pts smooth
0.296,2,-0.964999973773956,-0.964999973773956,2,4.67000007629394,4.67000007629394,-0.81191874,4.5572782,10pts smooth,-0.50442243,4.461946,500pts smooth
0.298,1,-0.519999980926513,-0.519999980926513,1,4.78999996185302,4.78999996185302,-0.84867424,4.6833515,10pts smooth,-0.50387084,4.4615102,500pts smooth
0.3,1,-1.02999997138977,-1.02999997138977,1,4.5,4.5,-0.65157628,4.6843691,10pts smooth,-0.50331849,4.4610844,500pts smooth
0.302,1,-0.419999986886978,-0.419999986886978,1,4.73000001907348,4.73000001907348,-0.3953853,4.6352587,10pts smooth,-0.50276589,4.4606686,500pts smooth
0.304,1,0.100000001490116,0.100000001490116,1,4.59999990463256,4.59999990463256,-0.10321746,4.5717144,10pts smooth,-0.50221366,4.4602628,500pts smooth
0.306,2,0.0700000002980232,0.0700000002980232,2,4.45499992370605,4.45499992370605,0.065054677,4.4787273,10pts smooth,-0.50166219,4.459866,500pts smooth
0.308,0,,0.110000003129243,0,,4.40750002861022,0.092244752,4.394002,10pts smooth,-0.50111216,4.4594789,500pts smooth
0.31,1,0.150000005960464,0.150000005960464,1,4.3600001335144,4.3600001335144,-0.26417017,4.3981757,10pts smooth,-0.50056398,4.4591007,500pts smooth
0.312,1,-0.9200000166893,-0.9200000166893,1,4.19999980926513,4.19999980926513,-0.64653438,4.4031096,10pts smooth,-0.50001824,4.4587317,500pts smooth
0.314,1,-1.13999998569488,-1.13999998569488,1,4.67999982833862,4.67999982833862,-0.77754039,4.344552,10pts smooth,-0.49947551,4.4583707,500pts smooth
0.316,1,-0.870000004768371,-0.870000004768371,1,4.30000019073486,4.30000019073486,-0.80430412,4.2668967,10pts smooth,-0.49893621,4.4580178,500pts smooth
0.318,1,-0.360000014305114,-0.360000014305114,1,3.92000007629394,3.92000007629394,-0.64128458,4.1620235,10pts smooth,-0.49840096,4.4576735,500pts smooth
0.32,2,-0.239999994635582,-0.239999994635582,2,4.07500004768371,4.07500004768371,-0.43176371,4.044908,10pts smooth,-0.49787027,4.4573369,500pts smooth
